Array Size,Array 1,Array 2,Array 3,Array 4,Array 5,Array 6,Array 7,Array 8,Array 9,Array 10
100,82660,78744,52422,54874,69591,67317,55766,68809,52193,85750
150,25099,41323,15972,14147,15406,16928,15692,17691,16709,15277
200,44632,19637,19295,18961,20215,18053,22067,32932,18771,32171
250,51698,27782,25651,24278,25019,26402,26842,42063,25432,42396
300,52068,31935,32581,31596,37055,32189,33091,52428,32074,51930
350,35332,52251,53247,34497,50497,51132,54033,54392,68310,68316
400,18829,36707,76681,18198,49827,64301,42102,18875,31360,22478
450,24004,21890,23269,21819,39362,22825,24412,21133,23380,22766
500,30945,30280,25039,25818,25262,25440,25779,23941,25851,24826
550,32113,34231,29477,43281,28455,31440,32405,38367,28822,28471
600,44530,31500,33755,45371,32626,35942,33158,33150,32520,43117
650,53348,35730,36654,52223,39402,39558,41760,39587,36428,42268
700,56092,40709,60582,55936,42541,41197,43466,58545,42795,39277
750,44078,43315,70441,61065,44499,53575,45566,45249,47020,44191
800,48329,48095,72077,67761,49217,68709,51130,49220,49209,47896
850,55112,51252,81887,72170,73094,73988,81169,53441,60474,53345
900,65118,72134,82845,82131,80652,83996,86268,76316,59905,58509
950,84354,88357,92904,85264,88195,93895,94830,78862,85544,62165
1000,93101,75221,81711,92060,94636,98065,98609,89201,98730,65136
1050,100856,70885,81242,68640,86161,97181,108427,92285,103267,75634
1100,77554,96464,75345,80309,76947,78175,116102,74248,81814,113564
1150,80354,117805,80079,76336,91707,79198,81996,78291,88947,79110
1200,89950,113627,83311,81811,85931,83098,85452,92860,85967,81924
1250,86909,105390,88820,106511,88756,92291,89122,86606,87314,91217
1300,105167,97822,94668,91480,104133,95408,103698,100692,93013,92411
1350,139442,95856,109701,104151,117228,122843,127355,99523,108149,113961
1400,109382,133761,123251,104974,111469,107556,105517,104709,124065,109405
1450,113944,105155,108274,114316,196389,111347,116896,110993,123108,125929
1500,121155,124349,111794,124632,117209,118086,115634,113063,114213,120858
1550,127342,115466,117058,116616,121156,115753,121532,125547,117013,125956
1600,126612,130728,130483,122742,140064,121405,133867,129208,121339,123479
1650,128179,130302,130051,127509,128679,126033,132613,130812,137560,128512
1700,134193,146940,133135,143995,134391,145115,137918,135513,134776,134305
1750,141815,138268,141856,141576,138376,137402,143534,151612,139493,139626
